action_ref,owner,pin_type,kind,repo_count,total_uses
toko-bifrost/ms-teams-deploy-card@3.1.2,toko-bifrost,tag,action,2,2
shogo82148/actions-setup-redis@v1.35.0,shogo82148,tag,action,1,2
prefix-dev/setup-pixi@v0.8.1,prefix-dev,tag,action,1,2
datavisyn/github-workflows/.github/workflows/build-push-helm-chart.yml@main,datavisyn,branch,reusable_workflow,1,2
datavisyn/github-workflows/.github/workflows/check-helm-chart-version.yml@main,datavisyn,branch,reusable_workflow,1,2
datavisyn/github-workflows/.github/workflows/build-node-python.yml@main,datavisyn,branch,reusable_workflow,1,2
zentered/bluesky-post-action@5a91cc2ad10a304a4e96c16182dbe4918710bcf6,zentered,sha,action,2,2
marocchino/sticky-pull-request-comment@70d2764d1a7d5d9560b100cbea0077fc8f633987,marocchino,sha,action,2,2
dawidd6/action-download-artifact@b6e2e70617bc3265edd6dab6c906732b2f1ae151,dawidd6,sha,action,2,2
goreleaser/goreleaser-action@v7,goreleaser,tag,action,1,2
terraform-linters/setup-tflint@v6,terraform-linters,tag,action,2,2
saulonunesdev/lerna-get-version-action@v1.0.4,saulonunesdev,tag,action,1,2
nick-fields/retry@ad984534de44a9489a53aefd81eb77f87c70dc60,nick-fields,sha,action,2,2
planetscale/ghcommit-action@v0.2.20,planetscale,tag,action,1,2
octokit/request-action@v2.x,octokit,tag,action,1,2
crazy-max/ghaction-import-gpg@v3,crazy-max,tag,action,2,2
peter-evans/create-pull-request@v3,peter-evans,tag,action,2,2
Slashgear/action-check-pr-title@v4.3.0,Slashgear,tag,action,2,2
peter-evans/find-comment@v2,peter-evans,tag,action,1,2
LouisBrunner/checks-action@v1.5.0,LouisBrunner,tag,action,1,2
deblockt/cucumber-report-annotations-action@v1.20,deblockt,tag,action,1,2
regclient/actions/regctl-login@main,regclient,branch,action,2,2
Azure/setup-kubectl@v2.1,Azure,tag,action,2,2
flowwer-dev/pull-request-stats@master,flowwer-dev,branch,action,2,2
regclient/actions/regctl-installer@main,regclient,branch,action,2,2
dorny/paths-filter@de90cc6fb38fc0963ad72b210f1f284cd68cea36,dorny,sha,action,2,2
amannn/action-semantic-pull-request@v5,amannn,tag,action,1,2
peter-murray/workflow-application-token-action@8e1ba3bf1619726336414f1014e37f17fbadf1db,peter-murray,sha,action,2,2
nick-fields/retry@v3.0.0,nick-fields,tag,action,2,2
Azure/static-web-apps-deploy@v1,Azure,tag,action,1,2
r-lib/actions/setup-pandoc@v2,r-lib,tag,action,2,2
bibipkins/dotnet-test-reporter@v1.4.0,bibipkins,tag,action,2,2
srvaroa/labeler@master,srvaroa,branch,action,2,2
distributhor/workflow-webhook@v2,distributhor,tag,action,1,2
s4u/setup-maven-action@ba34de01b7f4ba2ab8e2860df8993a29f4477056,s4u,sha,action,1,2
forwardimpact/fit-benchmark@v1,forwardimpact,tag,action,1,2
chambm/softfix@v2,chambm,tag,action,2,2
cirrus-actions/rebase@1.7,cirrus-actions,tag,action,2,2
geekyeggo/delete-artifact@v6,geekyeggo,tag,action,2,2
Seagen/tops-data-science/.github/workflows/docker-build-push-gcp.yml@development,Seagen,branch,reusable_workflow,2,2
peter-evans/create-pull-request@v5,peter-evans,tag,action,1,2
peter-murray/workflow-application-token-action@8e1ba3bf1619726336414f1014e37f17fbadf1db,peter-murray,sha,action,2,2
Seagen/actions/.github/workflows/maintenance.yml@main,Seagen,branch,reusable_workflow,2,2
pnpm/action-setup@v4,pnpm,tag,action,2,2
ambilykk/dependabot-alert-export@v1.0,ambilykk,tag,action,2,2
getsentry/action-release@v1,getsentry,tag,action,1,2
heartexlabs/label-studio/.github/workflows/build_pypi.yml@develop,heartexlabs,branch,reusable_workflow,1,2
SimenB/github-actions-cpu-cores@v1,SimenB,tag,action,2,2
chambm/github-action-cherry-pick@0.1.0,chambm,tag,action,2,2
khan/pull-request-comment-trigger@master,khan,branch,action,2,2
chambm/gh-backport-action@master,chambm,branch,action,2,2
anothrNick/github-tag-action@1.64.0,anothrNick,tag,action,2,2
EnricoMi/publish-unit-test-result-action@v2,EnricoMi,tag,action,1,2
pnpm/action-setup@v2,pnpm,tag,action,1,2
astral-sh/setup-uv@v8.1.0,astral-sh,tag,action,2,2
goreleaser/goreleaser-action@v6,goreleaser,tag,action,2,2
astral-sh/setup-uv@v7,astral-sh,tag,action,2,2
jdcargile/ms-teams-notification@v1.3,jdcargile,tag,action,1,2
technote-space/package-version-check-action@v1,technote-space,tag,action,2,2
tj-actions/changed-files@v44,tj-actions,tag,action,1,2
step-security/changed-files@v45,step-security,tag,action,1,2
kong/setup-inso@v2,kong,tag,action,1,2
dorny/paths-filter@v2.11.1,dorny,tag,action,1,2
hadolint/hadolint-action@v3.3.0,hadolint,tag,action,2,2
cloudflare/wrangler-action@v3.14.1,cloudflare,tag,action,2,2
peter-evans/create-pull-request@5f6978faf089d4d20b00c7766989d076bb2fc7f1,peter-evans,sha,action,1,2
astral-sh/setup-uv@v6,astral-sh,tag,action,1,2
AndreasAugustin/actions-template-sync@v2,AndreasAugustin,tag,action,2,2
dorny/paths-filter@de90cc6fb38fc0963ad72b210f1f284cd68cea36,dorny,sha,action,1,2
oven-sh/setup-bun@v2,oven-sh,tag,action,2,2
rapid7/insightcloudsec-actions@v1.0.1,rapid7,tag,action,1,2
stefanzweifel/git-auto-commit-action@v4,stefanzweifel,tag,action,2,2
luiz-albertoni/action-json-table-format-validation@v1.2,luiz-albertoni,tag,action,1,2
geekyeggo/delete-artifact@176a747ab7e287e3ff4787bf8a148716375ca118,geekyeggo,sha,action,1,2
snyk/actions/python-3.9@master,snyk,branch,action,1,2
snyk/actions/docker@master,snyk,branch,action,1,2
batista/lint-filenames@v1.0.1,batista,tag,action,1,2
jwalton/gh-find-current-pr@f3d61b485d2801773f7a07b2aaa3306bd8f8e653,jwalton,sha,action,1,2
marocchino/sticky-pull-request-comment@0ea0beb66eb9baf113663a64ec522f60e49231c0,marocchino,sha,action,1,2
Seagen/tops-data-science/.github/workflows/terraform-plan-apply.yml@main,Seagen,branch,reusable_workflow,1,1
Azure/static-web-apps-deploy@v1,Azure,tag,action,1,1
tj-actions/eslint-changed-files@v21,tj-actions,tag,action,1,1
Seagen/tops-data-science/.github/workflows/workspace-environment.yml@main,Seagen,branch,reusable_workflow,1,1
GuillaumeFalourd/clone-github-repo-action@v2.1,GuillaumeFalourd,tag,action,1,1
peaceiris/actions-gh-pages@v3,peaceiris,tag,action,1,1
peter-evans/slash-command-dispatch@v3,peter-evans,tag,action,1,1
gitleaks/gitleaks-action@ff98106e4c7b2bc287b24eaf42907196329070c7,gitleaks,sha,action,1,1
rickstaa/action-create-tag@v1,rickstaa,tag,action,1,1
dawidd6/action-send-mail@v3,dawidd6,tag,action,1,1
SonarSource/sonarqube-scan-action@v6.0.0,SonarSource,tag,action,1,1
gitleaks/gitleaks-action@v2,gitleaks,tag,action,1,1
astral-sh/setup-uv@v7,astral-sh,tag,action,1,1
juliangruber/sleep-action@v2.0.0,juliangruber,tag,action,1,1
webfactory/ssh-agent@v0.5.4,webfactory,tag,action,1,1
fjogeleit/http-request-action@v1,fjogeleit,tag,action,1,1
cypress-io/github-action@v4,cypress-io,tag,action,1,1
jfrog/setup-jfrog-cli@v3,jfrog,tag,action,1,1
cycjimmy/semantic-release-action@v3,cycjimmy,tag,action,1,1
DavidAnson/markdownlint-cli2-action@v7,DavidAnson,tag,action,1,1
mikepenz/release-changelog-builder-action@v3,mikepenz,tag,action,1,1
peter-evans/create-or-update-comment@71345be0265236311c031f5c7866368bd1eff043,peter-evans,sha,action,1,1
fischerscode/tagger@v0.2,fischerscode,tag,action,1,1
gradle/gradle-build-action@v2,gradle,tag,action,1,1
aquasecurity/trivy-action@master,aquasecurity,branch,action,1,1
pnpm/action-setup@v3,pnpm,tag,action,1,1
SonarSource/sonarqube-quality-gate-action@v1,SonarSource,tag,action,1,1
conda-incubator/setup-miniconda@v3,conda-incubator,tag,action,1,1
timerring/actions-gh-pages@e47f7a6802418fb6074655ca670367acd945a2df,timerring,sha,action,1,1
dorny/paths-filter@de90cc6fb38fc0963ad72b210f1f284cd68cea36,dorny,sha,action,1,1
mshick/add-pr-comment@v1,mshick,tag,action,1,1
crazy-max/ghaction-import-gpg@e89d40939c28e39f97cf32126055eeae86ba74ec,crazy-max,sha,action,1,1
browser-actions/setup-firefox@v1,browser-actions,tag,action,1,1
browser-actions/setup-geckodriver@latest,browser-actions,branch,action,1,1
softprops/action-gh-release@v1,softprops,tag,action,1,1
tj-actions/changed-files@v41,tj-actions,tag,action,1,1
r-lib/actions/setup-renv@v2,r-lib,tag,action,1,1
snok/install-poetry@v1,snok,tag,action,1,1
browser-actions/setup-chrome@v1,browser-actions,tag,action,1,1
ruby/setup-ruby@4a9ddd6f338a97768b8006bf671dfbad383215f4,ruby,sha,action,1,1
ludeeus/action-shellcheck@master,ludeeus,branch,action,1,1
psf/black@24.1.1,psf,tag,action,1,1
r-lib/actions/setup-r@v2,r-lib,tag,action,1,1
dawidd6/action-send-mail@v3,dawidd6,tag,action,1,1
pelikhan/action-genai-commentor@v0,pelikhan,tag,action,1,1
peter-evans/create-pull-request@v7,peter-evans,tag,action,1,1
isort/isort-action@v1,isort,tag,action,1,1
py-actions/flake8@v2,py-actions,tag,action,1,1
peaceiris/actions-gh-pages@4f9cc6602d3f66b9c108549d475ec49e8ef4d45e,peaceiris,sha,action,1,1
peter-evans/create-pull-request@v6,peter-evans,tag,action,1,1
SonarSource/sonarqube-scan-action@v2,SonarSource,tag,action,1,1
SonarSource/sonarqube-scan-action@a31c9398be7ace6bbfaf30c0bd5d415f843d45e9,SonarSource,sha,action,1,1
SonarSource/sonarqube-scan-action@v6,SonarSource,tag,action,1,1
ambilykk/dependabot-alert-export@v1.0,ambilykk,tag,action,1,1
imjasonh/setup-crane@31b88efe9de28ae0ffa220711af4b60be9435f6e,imjasonh,sha,action,1,1
bridgecrewio/checkov-action@v12,bridgecrewio,tag,action,1,1
oasdiff/oasdiff-action/diff@65fef71494258f00f911d7a71edb0482c5378899,oasdiff,sha,action,1,1
abinoda/label-when-approved-action@master,abinoda,branch,action,1,1
deliverybot/helm@v1,deliverybot,tag,action,1,1
softprops/action-gh-release@v1,softprops,tag,action,1,1
borchero/terraform-plan-comment@v1,borchero,tag,action,1,1
ncipollo/release-action@3f844db37a70d68b70e6d0792b900d0bad440a04,ncipollo,sha,action,1,1
ncipollo/release-action@a8bcd956fb63e2672c1e57eafb1accf4eaa68c31,ncipollo,sha,action,1,1
aglipanci/laravel-pint-action@2.4,aglipanci,tag,action,1,1
astral-sh/setup-uv@v5,astral-sh,tag,action,1,1
mr-smithers-excellent/docker-build-push@v6,mr-smithers-excellent,tag,action,1,1
fjogeleit/http-request-action@v1,fjogeleit,tag,action,1,1
TobKed/label-when-approved-action@v1.2,TobKed,tag,action,1,1
EndBug/add-and-commit@v9,EndBug,tag,action,1,1
snyk/actions/iac@master,snyk,branch,action,1,1
terraform-linters/setup-tflint@v3,terraform-linters,tag,action,1,1
Wandalen/wretry.action@e68c23e6309f2871ca8ae4763e7629b9c258e1ea,Wandalen,sha,action,1,1
DamianReeves/write-file-action@6929a9a6d1807689191dcc8bbe62b54d70a32b42,DamianReeves,sha,action,1,1
juliangruber/approve-pull-request-action@68fcc9a5a73b5641cadf757cf99d73720dcb05d0,juliangruber,sha,action,1,1
tj-actions/changed-files@9426d40962ed5378910ee2e21d5f8c6fcbf2dd96,tj-actions,sha,action,1,1
ramsey/composer-install@v3,ramsey,tag,action,1,1
golangci/golangci-lint-action@v6,golangci,tag,action,1,1
WyriHaximus/github-action-wait-for-status@v1.7,WyriHaximus,tag,action,1,1
sourcetoad/aws-codedeploy-action@v1,sourcetoad,tag,action,1,1
securego/gosec@master,securego,branch,action,1,1
oven-sh/setup-bun@v2.0.2,oven-sh,tag,action,1,1
tj-actions/changed-files@v37,tj-actions,tag,action,1,1
dorny/test-reporter@v1,dorny,tag,action,1,1
winstxnhdw/actions/.github/workflows/format-bun.yml@main,winstxnhdw,branch,reusable_workflow,1,1
winstxnhdw/actions/.github/workflows/bun.yml@main,winstxnhdw,branch,reusable_workflow,1,1
Codium-ai/pr-agent@main,Codium-ai,branch,action,1,1
release-drafter/release-drafter@v6.2.0,release-drafter,tag,action,1,1
release-drafter/release-drafter@v5.24.0,release-drafter,tag,action,1,1
anothrNick/github-tag-action@1.70.0,anothrNick,tag,action,1,1
terraform-linters/setup-tflint@19a52fbac37dacb22a09518e4ef6ee234f2d4987,terraform-linters,sha,action,1,1
webfactory/ssh-agent@v0.5.3,webfactory,tag,action,1,1
WyriHaximus/github-action-wait-for-status@v1.1.0,WyriHaximus,tag,action,1,1
aquasecurity/tfsec-action@b466648d6e39e7c75324f25d83891162a721f2d6,aquasecurity,sha,action,1,1
stCarolas/setup-maven@v4.5,stCarolas,tag,action,1,1
anothrNick/github-tag-action@1.36.0,anothrNick,tag,action,1,1
tj-actions/verify-changed-files@cedd7096b7f23ae0307d7d82f516d666580579b3,tj-actions,sha,action,1,1
juliangruber/approve-pull-request-action@v1.1.1,juliangruber,tag,action,1,1
release-drafter/release-drafter@v7.3.0,release-drafter,tag,action,1,1
chrnorm/deployment-action@v2.0.7,chrnorm,tag,action,1,1
pascalgn/automerge-action@v0.15.3,pascalgn,tag,action,1,1
freenet-actions/ms-teams-deploy-card@master,freenet-actions,branch,action,1,1
WyriHaximus/github-action-wait-for-status@v1.12.0,WyriHaximus,tag,action,1,1
nanzm/get-time-action@v1.1,nanzm,tag,action,1,1
morrisoncole/pr-lint-action@v1.6.0,morrisoncole,tag,action,1,1
astral-sh/setup-uv@6b9c6063abd6010835644d4c2e1bef4cf5cd0fca,astral-sh,sha,action,1,1
step-security/changed-files@v45,step-security,tag,action,1,1
oasdiff/oasdiff-action/changelog@65fef71494258f00f911d7a71edb0482c5378899,oasdiff,sha,action,1,1
oasdiff/oasdiff-action/breaking@65fef71494258f00f911d7a71edb0482c5378899,oasdiff,sha,action,1,1
stefanzweifel/git-auto-commit-action@v4,stefanzweifel,tag,action,1,1
trstringer/manual-approval@74d99dff7380e3e4b122d4ededcbca2b6ce59367,trstringer,sha,action,1,1
amannn/action-semantic-pull-request@0723387faaf9b38adef4775cd42cfd5155ed6017,amannn,sha,action,1,1
phips28/gh-action-bump-version@master,phips28,branch,action,1,1
mickem/clean-after-action@v1,mickem,tag,action,1,1
xom9ikk/dotenv@ac290ca23a42155a0cba1031d23afa46240116a9,xom9ikk,sha,action,1,1
ad-m/github-push-action@feature/hcp-monorepo,ad-m,branch,action,1,1
tj-actions/changed-files@v34,tj-actions,tag,action,1,1
WyriHaximus/github-action-wait-for-status@v1.8,WyriHaximus,tag,action,1,1
tj-actions/changed-files@v45,tj-actions,tag,action,1,1
EndBug/add-and-commit@v7,EndBug,tag,action,1,1
jakejarvis/s3-sync-action@v0.5.1,jakejarvis,tag,action,1,1
muratiger/invalidate-cloudfront-and-wait-for-completion-action@master,muratiger,branch,action,1,1
rhysd/action-setup-vim@v1,rhysd,tag,action,1,1
haya14busa/action-bumpr@v1,haya14busa,tag,action,1,1
peter-evans/create-pull-request@v7,peter-evans,tag,action,1,1
thenabeel/action-phpcs@v8,thenabeel,tag,action,1,1
heinrichreimer/github-changelog-generator-action@v2.2,heinrichreimer,tag,action,1,1
stefanzweifel/git-auto-commit-action@v4,stefanzweifel,tag,action,1,1
crazy-max/ghaction-github-labeler@v6.0.0,crazy-max,tag,action,1,1
morrisoncole/pr-lint-action@v1.6.1,morrisoncole,tag,action,1,1
morrisoncole/pr-lint-action@v1.7.0,morrisoncole,tag,action,1,1
peter-evans/repository-dispatch@v1,peter-evans,tag,action,1,1
technote-space/create-pr-action@v2,technote-space,tag,action,1,1
heartexlabs/label-studio/.github/workflows/docker-release-promote.yml@develop,heartexlabs,branch,reusable_workflow,1,1
ansible/ansible-content-actions/.github/workflows/ansible_lint.yaml@main,ansible,branch,reusable_workflow,1,1
kodermax/kubectl-aws-eks@1.1.0,kodermax,tag,action,1,1
SonarSource/sonarcloud-github-c-cpp@44cc4d3d487fbc35e5c29b0a9d717be218d3a0e8,SonarSource,sha,action,1,1
pre-commit/action@v3.0.1,pre-commit,tag,action,1,1
peter-evans/create-pull-request@c0f553fe549906ede9cf27b5156039d195d2ece0,peter-evans,sha,action,1,1
dorny/paths-filter@v3,dorny,tag,action,1,1
planetscale/ghcommit-action@v0.1.6,planetscale,tag,action,1,1
benc-uk/workflow-dispatch@v1,benc-uk,tag,action,1,1
paulhatch/semantic-version@v5.4.0,paulhatch,tag,action,1,1
goreleaser/goreleaser-action@v6,goreleaser,tag,action,1,1
browser-actions/setup-firefox@v1,browser-actions,tag,action,1,1
browser-actions/setup-chrome@v1,browser-actions,tag,action,1,1
ncipollo/release-action@v1.18.0,ncipollo,tag,action,1,1
snyk/actions/python@master,snyk,branch,action,1,1
snyk/actions/node@master,snyk,branch,action,1,1
snyk/actions/maven@master,snyk,branch,action,1,1
snyk/actions/docker@master,snyk,branch,action,1,1
snyk/actions/scala@master,snyk,branch,action,1,1
snyk/actions/ruby@master,snyk,branch,action,1,1
snyk/actions/gradle@master,snyk,branch,action,1,1
Infisical/secrets-action@v1.0.9,Infisical,tag,action,1,1
softprops/action-gh-release@v2,softprops,tag,action,1,1
ludeeus/action-shellcheck@master,ludeeus,branch,action,1,1
snyk/actions/golang@master,snyk,branch,action,1,1
snyk/actions/dotnet@master,snyk,branch,action,1,1
snyk/actions/cocoapods@master,snyk,branch,action,1,1
DamianReeves/write-file-action@6929a9a6d1807689191dcc8bbe62b54d70a32b42,DamianReeves,sha,action,1,1
databricks/setup-cli@v0.299.0,databricks,tag,action,1,1
stefanzweifel/git-auto-commit-action@v4,stefanzweifel,tag,action,1,1
julia-actions/setup-julia@v1,julia-actions,tag,action,1,1
cachix/install-nix-action@v15,cachix,tag,action,1,1
docker-practice/actions-setup-docker@master,docker-practice,branch,action,1,1
softprops/action-gh-release@a06a81a7e201492e0860981777eebb9f4e35d8ca,softprops,sha,action,1,1
julia-actions/setup-julia@latest,julia-actions,branch,action,1,1
trilom/file-changes-action@v1.2.4,trilom,tag,action,1,1
release-drafter/release-drafter@v5,release-drafter,tag,action,1,1
mamba-org/setup-micromamba@v1,mamba-org,tag,action,1,1
JuliaRegistries/TagBot@v1,JuliaRegistries,tag,action,1,1
Jtalk/setup-sbt@v2.0.0,Jtalk,tag,action,1,1
r-lib/actions/setup-renv@v2,r-lib,tag,action,1,1
tj-actions/changed-files@v31.0.3,tj-actions,tag,action,1,1
amannn/action-semantic-pull-request@v4,amannn,tag,action,1,1
anothrNick/github-tag-action@1.39.0,anothrNick,tag,action,1,1
gradle/actions/setup-gradle@v3,gradle,tag,action,1,1
gradle/actions/setup-gradle@v4,gradle,tag,action,1,1
rapid7/insightcloudsec-actions@v2.0.0,rapid7,tag,action,1,1
peter-evans/create-pull-request@v3,peter-evans,tag,action,1,1
gradle/actions/setup-gradle@v4,gradle,tag,action,1,1
unfor19/install-aws-cli-action@v1,unfor19,tag,action,1,1
gradle/wrapper-validation-action@e6e38bacfdf1a337459f332974bb2327a31aaf4b,gradle,sha,action,1,1
crazy-max/ghaction-import-gpg@v3,crazy-max,tag,action,1,1
pascalgn/automerge-action@v0.14.3,pascalgn,tag,action,1,1
hmarr/auto-approve-action@v2,hmarr,tag,action,1,1
EnricoMi/publish-unit-test-result-action/linux@v2,EnricoMi,tag,action,1,1
fischerscode/tagger@v0.2,fischerscode,tag,action,1,1
kyverno/action-install-cli@v0.2.0,kyverno,tag,action,1,1
danielpalme/ReportGenerator-GitHub-Action@v5.3.11,danielpalme,tag,action,1,1
fluxcd/flux2/action@main,fluxcd,branch,action,1,1
gradle/actions/setup-gradle@af1da67850ed9a4cedd57bfd976089dd991e2582,gradle,sha,action,1,1
dorny/paths-filter@v3,dorny,tag,action,1,1
pnpm/action-setup@v6,pnpm,tag,action,1,1
release-drafter/release-drafter@v5,release-drafter,tag,action,1,1
srvaroa/labeler@master,srvaroa,branch,action,1,1
unfor19/install-aws-cli-action@v1,unfor19,tag,action,1,1
softprops/action-gh-release@v3,softprops,tag,action,1,1
buildpacks/github-actions/setup-pack@v5.10.0,buildpacks,tag,action,1,1
GuillaumeFalourd/clone-github-repo-action@v2.1,GuillaumeFalourd,tag,action,1,1
mukunku/tag-exists-action@v1.4.0,mukunku,tag,action,1,1
imjasonh/setup-crane@v0.1,imjasonh,tag,action,1,1
pozil/auto-assign-issue@v1,pozil,tag,action,1,1
anishathalye/proof-html@v1.1.0,anishathalye,tag,action,1,1
tibdex/github-app-token@v2,tibdex,tag,action,1,1
fischerscode/tagger@v0.1,fischerscode,tag,action,1,1
haya14busa/action-cond@v1,haya14busa,tag,action,1,1
dcarbone/install-jq-action@v2.1.0,dcarbone,tag,action,1,1
threeal/setup-yarn-action@v2.0.0,threeal,tag,action,1,1
dev-hanz-ops/install-gh-cli-action@v0.1.0,dev-hanz-ops,tag,action,1,1
danielpalme/ReportGenerator-GitHub-Action@5.2.4,danielpalme,tag,action,1,1
5monkeys/cobertura-action@master,5monkeys,branch,action,1,1
anothrNick/github-tag-action@1.64.0,anothrNick,tag,action,1,1
peter-evans/create-pull-request@v6,peter-evans,tag,action,1,1
NuGet/setup-nuget@v1.0.5,NuGet,tag,action,1,1
anchore/sbom-action@v0,anchore,tag,action,1,1
peter-evans/create-or-update-comment@v5,peter-evans,tag,action,1,1
dependabot/fetch-metadata@v3,dependabot,tag,action,1,1
release-drafter/release-drafter@v5,release-drafter,tag,action,1,1
aquasecurity/trivy-action@0.35.0,aquasecurity,tag,action,1,1
r-lib/actions/setup-r-dependencies@v2,r-lib,tag,action,1,1
stCarolas/setup-maven@d6af6abeda15e98926a57b5aa970a96bb37f97d1,stCarolas,sha,action,1,1
snyk/actions/iac@master,snyk,branch,action,1,1
wagoid/commitlint-github-action@v6,wagoid,tag,action,1,1
dorny/paths-filter@v3,dorny,tag,action,1,1
JamesIves/github-pages-deploy-action@4.1.4,JamesIves,tag,action,1,1
astral-sh/setup-uv@v3,astral-sh,tag,action,1,1
astral-sh/setup-uv@v6,astral-sh,tag,action,1,1
Swatinem/rust-cache@v2,Swatinem,tag,action,1,1
browserstack/github-actions/setup-local@master,browserstack,branch,action,1,1
browserstack/github-actions/setup-env@master,browserstack,branch,action,1,1
Mattraks/delete-workflow-runs@v2,Mattraks,tag,action,1,1
actions-rust-lang/setup-rust-toolchain@v1,actions-rust-lang,tag,action,1,1
apple-actions/import-codesign-certs@v3,apple-actions,tag,action,1,1
DavidAnson/markdownlint-cli2-action@v19,DavidAnson,tag,action,1,1
release-drafter/release-drafter@v6,release-drafter,tag,action,1,1
tauri-apps/tauri-action@v0,tauri-apps,tag,action,1,1
swatinem/rust-cache@v2,swatinem,tag,action,1,1
dtolnay/rust-toolchain@stable,dtolnay,branch,action,1,1
gradle/actions/setup-gradle@af1da67850ed9a4cedd57bfd976089dd991e2582,gradle,sha,action,1,1
fluxcd/flux2/action@main,fluxcd,branch,action,1,1
danielpalme/ReportGenerator-GitHub-Action@v5.3.11,danielpalme,tag,action,1,1
anishathalye/proof-html@v1.1.0,anishathalye,tag,action,1,1
pozil/auto-assign-issue@v1,pozil,tag,action,1,1
EnricoMi/publish-unit-test-result-action/linux@v2,EnricoMi,tag,action,1,1
regclient/actions/regctl-login@main,regclient,branch,action,1,1
aquasecurity/tfsec-action@v1.0.0,aquasecurity,tag,action,1,1
secret-scanner/action@0.0.2,secret-scanner,tag,action,1,1
terraform-docs/gh-actions@v1.3.0,terraform-docs,tag,action,1,1
regclient/actions/regctl-installer@main,regclient,branch,action,1,1
unfor19/install-aws-cli-action@v1,unfor19,tag,action,1,1
terraform-linters/setup-tflint@v4,terraform-linters,tag,action,1,1
appleboy/ssh-action@v1.0.0,appleboy,tag,action,1,1
lycheeverse/lychee-action@v2,lycheeverse,tag,action,1,1
veracode/veracode-uploadandscan-action@master,veracode,branch,action,1,1
pcolby/tap-summary@v1,pcolby,tag,action,1,1
mikepenz/action-junit-report@v3,mikepenz,tag,action,1,1
prefix-dev/setup-pixi@v0.8.0,prefix-dev,tag,action,1,1
mshick/add-pr-comment@v2,mshick,tag,action,1,1
jfrog/setup-jfrog-cli@v4,jfrog,tag,action,1,1
JamesIves/github-pages-deploy-action@v4.6.0,JamesIves,tag,action,1,1
peter-evans/create-pull-request@v6,peter-evans,tag,action,1,1
eWaterCycle/setup-singularity@v7,eWaterCycle,tag,action,1,1
dawidd6/action-download-artifact@v3,dawidd6,tag,action,1,1
zentered/bluesky-post-action@v0.1.0,zentered,tag,action,1,1
GetTerminus/terraform-pr-commenter@v3,GetTerminus,tag,action,1,1
heartexlabs/label-studio/.github/workflows/pr-labeler.yml@develop,heartexlabs,branch,reusable_workflow,1,1
heartexlabs/label-studio/.github/workflows/submodules-validator.yml@develop,heartexlabs,branch,reusable_workflow,1,1
heartexlabs/label-studio/.github/workflows/gitleaks.yml@develop,heartexlabs,branch,reusable_workflow,1,1
dawidd6/action-download-artifact@09385b76de790122f4da9c82b17bccf858b9557c,dawidd6,sha,action,1,1
scacap/action-surefire-report@482f012643ed0560e23ef605a79e8e87ca081648,scacap,sha,action,1,1
dorny/paths-filter@v2,dorny,tag,action,1,1
heartexlabs/label-studio/.github/workflows/bandit.yml@develop,heartexlabs,branch,reusable_workflow,1,1
slackapi/slack-github-action@v1.22,slackapi,tag,action,1,1
thehanimo/pr-title-checker@v1.3.4,thehanimo,tag,action,1,1
release-drafter/release-drafter@v5.21.0,release-drafter,tag,action,1,1
heartexlabs/label-studio/.github/workflows/frontend-build.yml@develop,heartexlabs,branch,reusable_workflow,1,1
heartexlabs/label-studio/.github/workflows/docker-build.yml@develop,heartexlabs,branch,reusable_workflow,1,1
heartexlabs/label-studio/.github/workflows/tests.yml@develop,heartexlabs,branch,reusable_workflow,1,1
imjasonh/setup-crane@v0.1,imjasonh,tag,action,1,1
mukunku/tag-exists-action@v1.4.0,mukunku,tag,action,1,1
tj-actions/changed-files@v18,tj-actions,tag,action,1,1
dart-lang/setup-dart@9a04e6d73cca37bd455e0608d7e5092f881fd603,dart-lang,sha,action,1,1
cycjimmy/semantic-release-action@v4,cycjimmy,tag,action,1,1
SonarSource/sonarqube-scan-action@v6.0.0,SonarSource,tag,action,1,1
dorny/test-reporter@v1.6.0,dorny,tag,action,1,1
bufbuild/buf-breaking-action@v1,bufbuild,tag,action,1,1
r-lib/actions/setup-r@v2,r-lib,tag,action,1,1
potiuk/cancel-workflow-runs@4723494a065d162f8e9efd071b98e0126e00f866,potiuk,sha,action,1,1
peaceiris/actions-gh-pages@v4,peaceiris,tag,action,1,1
bufbuild/buf-setup-action@v1,bufbuild,tag,action,1,1
bufbuild/buf-lint-action@v1,bufbuild,tag,action,1,1
devcontainers/ci@v0.3,devcontainers,tag,action,1,1
dawidd6/action-download-artifact@4c1e823582f43b179e2cbb49c3eade4e41f992e2,dawidd6,sha,action,1,1
zentered/bluesky-post-action@4aa83560bb3eac05dbad1e5f221ee339118abdd2,zentered,sha,action,1,1
tj-actions/changed-files@v46,tj-actions,tag,action,1,1
qoomon/actions--create-commit@v1,qoomon,tag,action,1,1
hadolint/hadolint-action@2332a7b74a6de0dda2e2221d575162eba76ba5e5,hadolint,sha,action,1,1
softprops/action-gh-release@72f2c25fcb47643c292f7107632f7a47c1df5cd8,softprops,sha,action,1,1
devcontainers/ci@b63b30de439b47a52267f241112c5b453b673db5,devcontainers,sha,action,1,1
eWaterCycle/setup-apptainer@3f706d898c9db585b1d741b4692e66755f3a1b40,eWaterCycle,sha,action,1,1
peaceiris/actions-hugo@75d2e84710de30f6ff7268e08f310b60ef14033f,peaceiris,sha,action,1,1
dessant/lock-threads@v5,dessant,tag,action,1,1
