action_ref,owner,pin_type,is_vetted,kind,repo_count,total_uses
actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11,actions,sha,true,action,9,9
docker/login-action@v3,docker,tag,true,action,7,9
hmanzur/actions-set-secret@v2.0.0,hmanzur,tag,false,action,3,9
actions/setup-python@v2.2.1,actions,tag,true,action,4,9
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_snowflake-schema-update.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,3,9
actions/upload-pages-artifact@v3,actions,tag,true,action,8,9
actions/deploy-pages@v4,actions,tag,true,action,8,9
./.github/workflows/cd_prefect_workflow_registration.yaml,,local,true,reusable_workflow,1,9
actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions,sha,true,action,1,9
softprops/action-gh-release@v2,softprops,tag,false,action,7,8
docker/build-push-action@10e90e3645eae34f1e60eeb005ba3a3d33f178e8,docker,sha,true,action,3,8
pfizer/python-test-automation-boilerplate/.github/actions/bp_action@master,pfizer,branch,true,action,3,8
actions/cache/restore@v4,actions,tag,true,action,1,8
sliteteam/github-action-git-crypt-unlock@1.2.0,sliteteam,tag,false,action,1,8
pfizer-analytics/oic-deployment-orchestration/.github/workflows/reusable_tag-validation.yml@baf7272c83de0fbe090e71e3b5fa492ce2a4a9b4,pfizer-analytics,sha,true,reusable_workflow,4,8
astral-sh/setup-uv@v5,astral-sh,tag,false,action,5,8
actions/create-github-app-token@v1,actions,tag,true,action,4,8
actions/github-script@v8,actions,tag,true,action,3,8
aquasecurity/trivy-action@b6643a29fecd7f34b3597bc6acb0a98b03d33ff8,aquasecurity,sha,false,action,2,8
aws-actions/amazon-ecr-login@062b18b96a7aff071d4dc91bc00c4c1a7945b076,aws-actions,sha,true,action,5,8
./.github/workflows/_ra_cd_template_model.yml,,local,true,reusable_workflow,1,8
bazel-contrib/setup-bazel@c5acdfb288317d0b5c0bbd7a396a3dc868bb0f86,bazel-contrib,sha,false,action,1,8
