action_ref,owner,pin_type,is_vetted,kind,repo_count,total_uses
pfizer-digital-manufacuring/pgs-poi-actions/copy-custom-provider@v2,pfizer-digital-manufacuring,tag,true,action,1,6
SonarSource/sonarqube-scan-action@v6,SonarSource,tag,false,action,6,6
pfizer-digital-manufacuring/pgs-poi-actions/setup-terraform@upgrade-terraform-1.6.2,pfizer-digital-manufacuring,branch,true,action,3,6
actions/download-artifact@v3,actions,tag,true,action,5,6
actions/upload-artifact@v5,actions,tag,true,action,1,6
./.github/workflows/_build_npm.yaml,,local,true,reusable_workflow,1,6
pfizer-digital-manufacuring/dm-m4-actions-docker-build-publish@v2,pfizer-digital-manufacuring,tag,true,action,5,6
azure/setup-helm@dda3372f752e03dde6b3237bc9431cdc2f7a02a2,azure,sha,true,action,3,6
hashicorp/setup-terraform@dfe3c3f87815947d99a8997f908cb6525fc44e9e,hashicorp,sha,true,action,2,6
pfizer-operations-and-insights/pgs-oi-workflows/.github/workflows/build-and-trigger.yaml@bolt-runner-migration,pfizer-operations-and-insights,branch,true,reusable_workflow,6,6
actions/setup-java@v4,actions,tag,true,action,5,5
SonarSource/sonarqube-scan-action@v5,SonarSource,tag,false,action,5,5
./.github/workflows/_deploy_playbook.yaml,,local,true,reusable_workflow,1,5
aws-actions/amazon-ecs-render-task-definition@v1,aws-actions,tag,true,action,2,5
aws-actions/amazon-ecs-deploy-task-definition@v2,aws-actions,tag,true,action,2,5
pfizer-digital-manufacuring/m4-actions-helm-deployment@a68c81712f610d21d77b60af7408faba3420fecf,pfizer-digital-manufacuring,sha,true,action,2,5
pfizer-digital-manufacuring/pgs-poi-actions/setup-node@v3,pfizer-digital-manufacuring,tag,true,action,2,5
pfizer-digital-manufacuring/pgs-poi-actions/configure-aws-credentials@v3,pfizer-digital-manufacuring,tag,true,action,3,5
pfizer-digital-manufacuring/pgs-poi-actions/flux-reconcile@dm-v1,pfizer-digital-manufacuring,branch,true,action,3,5
docker://liquibase/liquibase:4.14,,docker,true,action,1,4
./.github/workflows/deliver.yaml,,local,true,reusable_workflow,2,4
./.github/workflows/test-deployed.yaml,,local,true,reusable_workflow,2,4
./.github/workflows/promote.yaml,,local,true,reusable_workflow,2,4
pfizer-digital-manufacuring/pgs-poi-flux-app/.github/workflows/terraform-apply-aws.yaml@v3,pfizer-digital-manufacuring,tag,true,reusable_workflow,2,4
./.github/workflows/project-deploy.yaml,,local,true,reusable_workflow,2,4
pfizer-digital-manufacuring/pgs-poi-flux-app/.github/workflows/terraform-apply-aws.yaml@v6,pfizer-digital-manufacuring,tag,true,reusable_workflow,1,4
pfizer-digital-manufacuring/pgs-poi-actions/setup-aws-cli@v2,pfizer-digital-manufacuring,tag,true,action,2,4
./.github/workflows/env-build.yaml,,local,true,reusable_workflow,1,4
aws-actions/configure-aws-credentials@v2,aws-actions,tag,true,action,1,4
ncipollo/release-action@v1,ncipollo,tag,false,action,2,4
actions/setup-node@v6,actions,tag,true,action,1,4
actions/setup-dotnet@v4,actions,tag,true,action,1,4
codecov/codecov-action@v5,codecov,tag,true,action,2,4
pfizer-operations-and-insights/pgs-poi-actions/flux-create-environment@v2,pfizer-operations-and-insights,tag,true,action,3,4
pfizer-digital-manufacuring/pgs-poi-flux-app/.github/workflows/flux-generate-semantic-version.yaml@v6,pfizer-digital-manufacuring,tag,true,reusable_workflow,3,3
pfizer-digital-manufacuring/pgs-poi-flux-app/.github/workflows/flux-generate-release-notes.yaml@v6,pfizer-digital-manufacuring,tag,true,reusable_workflow,3,3
pfizer-digital-manufacuring/pgs-poi-flux-app/.github/workflows/flux-start-release-pipeline.yaml@v6,pfizer-digital-manufacuring,tag,true,reusable_workflow,3,3
pfizer-digital-manufacuring/pgs-poi-actions/delete-acceptance-envs@v2,pfizer-digital-manufacuring,tag,true,action,3,3
pfizer-digital-manufacuring/pgs-poi-mars/.github/workflows/build.yaml@main,pfizer-digital-manufacuring,branch,true,reusable_workflow,1,3
pfizer-operations-and-insights/pgs-poi-actions/flux-update-release-version@v3,pfizer-operations-and-insights,tag,true,action,2,3
./.github/workflows/destroy.yaml,,local,true,reusable_workflow,2,3
./.github/workflows/acceptance_deploy.yaml,,local,true,reusable_workflow,1,3
pfizer-digital-manufacuring/pgs-poi-actions/deploy-terraform@upgrade-terraform-1.6.2,pfizer-digital-manufacuring,branch,true,action,3,3
pfizer-digital-manufacuring/pgs-poi-flux-app/.github/workflows/flux-build-application.yaml@v8,pfizer-digital-manufacuring,tag,true,reusable_workflow,1,3
docker/build-push-action@v3,docker,tag,true,action,1,3
./.github/workflows/_neo4j_restore.yaml,,local,true,reusable_workflow,1,3
./.github/workflows/_e2e-test.yaml,,local,true,reusable_workflow,1,3
actions/setup-dotnet@v2,actions,tag,true,action,1,3
pfizer-github-automation/bolt-enable-ssh-action@v1,pfizer-github-automation,tag,true,action,1,3
hashicorp/setup-terraform@v2,hashicorp,tag,true,action,3,3
./devops/templates/tasks/install-kubectl,,local,true,action,1,3
./devops/templates/tasks/generate-kubeconfig,,local,true,action,1,3
pfizer-digital-manufacuring/pgs-poi-actions/setup-npm@v2,pfizer-digital-manufacuring,tag,true,action,1,3
qoomon/actions--create-commit@v1.2.3,qoomon,tag,false,action,1,3
./.github/workflows/_build_project.yaml,,local,true,reusable_workflow,1,3
./.github/workflows/_build_playbook.yaml,,local,true,reusable_workflow,1,3
pfizer-digital-manufacuring/dm-quality-devsecops-testingframework/.github/workflows/run-single-product-test-suite.yml@main,pfizer-digital-manufacuring,branch,true,reusable_workflow,1,3
./.github/workflows/terraform-build.yml,,local,true,reusable_workflow,1,3
pfizer-digital-manufacuring/dm-m4-actions-retag-docker-image@3314f33202c935a5da871027056325d409703a14,pfizer-digital-manufacuring,sha,true,action,2,3
actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions,sha,true,action,2,3
dorny/paths-filter@de90cc6fb38fc0963ad72b210f1f284cd68cea36,dorny,sha,false,action,2,2
./.github/workflows/run_etl.yaml,,local,true,reusable_workflow,1,2
peter-murray/workflow-application-token-action@8e1ba3bf1619726336414f1014e37f17fbadf1db,peter-murray,sha,false,action,2,2
./.github/workflows/test-unit.yaml,,local,true,reusable_workflow,2,2
actions/setup-python@v3,actions,tag,true,action,1,2
./.github/workflows/sync-data.yaml,,local,true,reusable_workflow,1,2
./.github/workflows/deploy-aws.yaml,,local,true,reusable_workflow,1,2
pfizer-digital-manufacuring/pgs-poi-actions/.github/workflows/flux-build-application.yaml@add-deploy-flux,pfizer-digital-manufacuring,branch,true,reusable_workflow,1,2
Azure/setup-kubectl@v2.1,Azure,tag,false,action,2,2
flowwer-dev/pull-request-stats@master,flowwer-dev,branch,false,action,2,2
aws-actions/configure-aws-credentials@v6,aws-actions,tag,true,action,2,2
pfizer-digital-manufacuring/pgs-poi-batch-tracker-deployment/.github/workflows/_deploy_aws.yaml@add-rds-integration,pfizer-digital-manufacuring,branch,true,reusable_workflow,1,2
nick-fields/retry@v3.0.0,nick-fields,tag,false,action,2,2
./.github/workflows/test.yaml,,local,true,reusable_workflow,1,2
distributhor/workflow-webhook@v2,distributhor,tag,false,action,1,2
docker/setup-buildx-action@v3,docker,tag,true,action,2,2
actions/create-release@v1,actions,tag,true,action,2,2
docker://ghcr.io/codfish/semantic-release-action:v2,,docker,true,action,2,2
azure/setup-kubectl@v3,azure,tag,true,action,2,2
pfizer-digital-manufacuring/dm-github-plugins@sonarqube-scan-action,pfizer-digital-manufacuring,branch,true,action,2,2
pfizer-digital-manufacuring/dm-github-plugins@phwt-quality-gate-v1.2.0,pfizer-digital-manufacuring,branch,true,action,2,2
./devops/templates/tasks/prepare-helmconfig,,local,true,action,1,2
actions/download-artifact@v6,actions,tag,true,action,1,2
./.github/workflows/_lint.yaml,,local,true,reusable_workflow,1,2
./.github/workflows/_test.yaml,,local,true,reusable_workflow,1,2
actions/setup-python@v2,actions,tag,true,action,2,2
./.github/actions/prep,,local,true,action,1,2
pfizer-digital-manufacuring/dm-m4-actions-enterprise-sonarqube-scan@v2,pfizer-digital-manufacuring,tag,true,action,2,2
./.github/workflows/terraform-security.yml,,local,true,reusable_workflow,1,2
./.github/workflows/terraform-validate.yml,,local,true,reusable_workflow,1,2
./.github/workflows/terraform-deploy.yml,,local,true,reusable_workflow,1,2
pfizer-digital-manufacuring/dm-m4-actions-java-image-build-publish@ed7b2cb00b008b9baaef598be9794fb55146fdaf,pfizer-digital-manufacuring,sha,true,action,1,2
pfizer-digital-manufacuring/dm-m4-actions-docker-build-publish@074a634682be991c8e101f8d28b2340bf737372c,pfizer-digital-manufacuring,sha,true,action,1,2
actions/checkout@34e114876b0b11c390a56381ad16ebd13914f8d5,actions,sha,true,action,1,2
pfizer-operations-and-insights/pgs-poi-actions/create-release-version@v2,pfizer-operations-and-insights,tag,true,action,2,2
actions/upload-pages-artifact@v3,actions,tag,true,action,2,2
actions/deploy-pages@v4,actions,tag,true,action,2,2
actions/checkout@v6.0.1,actions,tag,true,action,2,2
actions/setup-java@v5,actions,tag,true,action,1,2
aws-actions/amazon-ecr-login@fa648b43de3d4d023bcb3f89ed6940096949c419,aws-actions,sha,true,action,1,2
pfizer-github-automation/sonar-scan-action@1ec9b1579aa5b551a238b917425189aa60ed9ff8,pfizer-github-automation,sha,true,action,2,2
pfizer-operations-and-insights/pgs-poi-actions/flux-update-release-version@v2,pfizer-operations-and-insights,tag,true,action,2,2
pfizer-digital-manufacuring/pgs-poi-actions/setup-dotnet@v3,pfizer-digital-manufacuring,tag,true,action,1,2
actions/create-github-app-token@v3,actions,tag,true,action,1,2
codecov/codecov-action@v3,codecov,tag,true,action,1,1
cypress-io/github-action@v4,cypress-io,tag,false,action,1,1
pfizer-operations-and-insights/pgs-poi-actions/build@v3,pfizer-operations-and-insights,tag,true,action,1,1
./.github/workflows/delete_acceptance_env.yaml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-actions/delete-acceptance-dbs@v2,pfizer-digital-manufacuring,tag,true,action,1,1
./.github/actions/pod-logs,,local,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/create-zalando-db-clone@feat/zalando-postgres-clone,pfizer-digital-manufacuring,branch,true,action,1,1
./.github/workflows/build_temp.yaml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/dm-github-plugins@scp-action,pfizer-digital-manufacuring,branch,true,action,1,1
actions/setup-java@v2,actions,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/.github/workflows/flux-generate-semantic-version.yaml@add-deploy-flux,pfizer-digital-manufacuring,branch,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-actions/.github/workflows/flux-generate-release-notes.yaml@add-deploy-flux,pfizer-digital-manufacuring,branch,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-actions/.github/workflows/flux-start-release-pipeline.yaml@add-deploy-flux,pfizer-digital-manufacuring,branch,true,reusable_workflow,1,1
./.github/workflows/_manual_deploy.yaml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-actions/generate-azure-devops-pat@v2,pfizer-digital-manufacuring,tag,true,action,1,1
docker/setup-qemu-action@v1,docker,tag,true,action,1,1
docker/setup-buildx-action@v1,docker,tag,true,action,1,1
fjogeleit/http-request-action@v1,fjogeleit,tag,false,action,1,1
./.github/workflows/_deploy_centralbackup.yaml,,local,true,reusable_workflow,1,1
juliangruber/sleep-action@v2.0.0,juliangruber,tag,false,action,1,1
webfactory/ssh-agent@v0.5.4,webfactory,tag,false,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/db-backups-reports@v2,pfizer-digital-manufacuring,tag,true,action,1,1
cycjimmy/semantic-release-action@v3,cycjimmy,tag,false,action,1,1
fischerscode/tagger@v0.2,fischerscode,tag,false,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/get-latest-release@v2,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-flux-app/.github/workflows/argocd-start-release-pipeline.yaml@v6,pfizer-digital-manufacuring,tag,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-dps-actions/.github/actions/jobs/docker-build-and-push-nodejs-service-job@main,pfizer-digital-manufacuring,branch,true,action,1,1
actions/upload-artifact@v2,actions,tag,true,action,1,1
./.github/workflows/_deploy_plan.yaml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-actions/remove-from-terraform-state@v2,pfizer-digital-manufacuring,tag,true,action,1,1
./.github/workflows/promote.yml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-actions/destroy-terraform@v3,pfizer-digital-manufacuring,tag,true,action,1,1
gradle/gradle-build-action@v2,gradle,tag,false,action,1,1
DavidAnson/markdownlint-cli2-action@v7,DavidAnson,tag,false,action,1,1
sonarsource/sonarqube-quality-gate-action@master,sonarsource,branch,true,action,1,1
azure/setup-helm@v3,azure,tag,true,action,1,1
mikepenz/release-changelog-builder-action@v3,mikepenz,tag,false,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/setup-cypher-shell@fix-gpg-error,pfizer-digital-manufacuring,branch,true,action,1,1
./.github/workflows/env-build-branch.yaml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-tracer/.github/build@develop,pfizer-digital-manufacuring,branch,true,action,1,1
astral-sh/setup-uv@v7,astral-sh,tag,false,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/tagger@v1,pfizer-digital-manufacuring,tag,true,action,1,1
actions/upload-release-asset@latest,actions,branch,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/build@v2,pfizer-digital-manufacuring,tag,true,action,1,1
./.github/workflows/sonarqube-scan.yml,,local,true,reusable_workflow,1,1
./.github/workflows/provision-website.yml,,local,true,reusable_workflow,1,1
./.github/workflows/provision-windows-service.yml,,local,true,reusable_workflow,1,1
./.github/workflows/deploy-app.yml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-dps-actions/.github/actions/build-and-push-image-generic@main,pfizer-digital-manufacuring,branch,true,action,1,1
pfizer-digital-manufacuring/pgs-dps-actions/.github/actions/steps/gitops-cd@feature/DMSCES-2839_Gitops_CD,pfizer-digital-manufacuring,branch,true,action,1,1
pfizer-digital-manufacuring/pgs-dps-actions/.github/actions/jobs/docker-build-and-push-dotnet-service-job@main,pfizer-digital-manufacuring,branch,true,action,1,1
./devops/templates/deployments/dlx-admin,,local,true,action,1,1
./devops/templates/deployments/scitara-install,,local,true,action,1,1
./devops/templates/deployments/update-certs,,local,true,action,1,1
GuillaumeFalourd/clone-github-repo-action@v2.1,GuillaumeFalourd,tag,false,action,1,1
mukunku/tag-exists-action@v1.4.0,mukunku,tag,false,action,1,1
imjasonh/setup-crane@v0.1,imjasonh,tag,false,action,1,1
SonarSource/sonarqube-scan-action@v6.0.0,SonarSource,tag,false,action,1,1
cycjimmy/semantic-release-action@v4,cycjimmy,tag,false,action,1,1
./.github/workflows/_promote_npm.yaml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/dm-m4-actions-java-image-build-publish@v1,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-enterprise-sonarqube-scan@v1,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-container-deployment@v1,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-mcf-build-publish-image@v1,pfizer-digital-manufacuring,tag,true,action,1,1
dart-lang/setup-dart@9a04e6d73cca37bd455e0608d7e5092f881fd603,dart-lang,sha,false,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-python-script-poc@main,pfizer-digital-manufacuring,branch,true,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-java-image-build-publish@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-java-image-build-publish@v2,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-container-deployment@dev,pfizer-digital-manufacuring,branch,true,action,1,1
GetTerminus/terraform-pr-commenter@v3,GetTerminus,tag,false,action,1,1
terraform-docs/gh-actions@v1.3.0,terraform-docs,tag,false,action,1,1
./.github/workflows/terraform-docs.yml,,local,true,reusable_workflow,1,1
secret-scanner/action@0.0.2,secret-scanner,tag,false,action,1,1
aquasecurity/tfsec-action@v1.0.0,aquasecurity,tag,false,action,1,1
terraform-linters/setup-tflint@v4,terraform-linters,tag,false,action,1,1
./.github/workflows/ci-integration-tests.yml,,local,true,reusable_workflow,1,1
pfizer-digital-manufacuring/dm-m4-actions-enterprise-sonarqube-scan@b202155f9fe8557d5dbba0e5da09cad5523a7151,pfizer-digital-manufacuring,sha,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/flux-create-environment@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/flux-destroy-environment@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/flux-update-release-version@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/flux-reconcile@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-github-automation/sonar-scan-action@cb6da2f3879a331d7ba4a7c84ac425618f4b5939,pfizer-github-automation,sha,true,action,1,1
actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions,sha,true,action,1,1
actions/setup-java@be666c2fcd27ec809703dec50e508c2fdc7f6654,actions,sha,true,action,1,1
./.github/workflows/_deploy_analysis_shapley.yaml,,local,true,reusable_workflow,1,1
aws-actions/configure-aws-credentials@50ac8dd1e1b10d09dac7b8727528b91bed831ac0,aws-actions,sha,true,action,1,1
pfizer-digital-manufacuring/dm-m4-actions-docker-build-publish@v3,pfizer-digital-manufacuring,tag,true,action,1,1
unfor19/install-aws-cli-action@v1,unfor19,tag,false,action,1,1
pfizer-operations-and-insights/pgs-poi-actions/flux-reconcile@v2,pfizer-operations-and-insights,tag,true,action,1,1
pfizer-operations-and-insights/pgs-oi-workflows/.github/workflows/build-and-trigger.yaml@v2,pfizer-operations-and-insights,tag,true,reusable_workflow,1,1
pfizer-digital-manufacuring/pgs-poi-actions/generate-application-build-matrix@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/get-branch-name@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/get-normalized-branch-name@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/workflow-dispatch@v3,pfizer-digital-manufacuring,tag,true,action,1,1
regclient/actions/regctl-installer@main,regclient,branch,false,action,1,1
regclient/actions/regctl-login@main,regclient,branch,false,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/nuget-unit-tests@v3,pfizer-digital-manufacuring,tag,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/check-nuget-vulnerabilities@v3,pfizer-digital-manufacuring,tag,true,action,1,1
danielpalme/ReportGenerator-GitHub-Action@v5.3.11,danielpalme,tag,false,action,1,1
fluxcd/flux2/action@main,fluxcd,branch,false,action,1,1
gradle/actions/setup-gradle@af1da67850ed9a4cedd57bfd976089dd991e2582,gradle,sha,false,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/honeycomb-sync@feat/honeycomb-sync-action,pfizer-digital-manufacuring,branch,true,action,1,1
pfizer-digital-manufacuring/pgs-poi-actions/tagger@v2,pfizer-digital-manufacuring,tag,true,action,1,1
EnricoMi/publish-unit-test-result-action/linux@v2,EnricoMi,tag,false,action,1,1
./.github/workflows/_deploy-infrastructure.yaml,,local,true,action,1,1
./.github/workflows/_setup-build-vars.yaml,,local,true,reusable_workflow,43,86
pfizer-digital-supply/digital-supply-actions/.github/workflows/application-create-release.yaml@v1,pfizer-digital-supply,tag,true,reusable_workflow,43,43
pfizer-digital-supply/digital-supply-actions/.github/workflows/application-integration.yaml@v1,pfizer-digital-supply,tag,true,reusable_workflow,43,43
actions/checkout@v4,actions,tag,true,action,23,33
./.github/workflows/_deploy.yaml,,local,true,reusable_workflow,2,15
actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11,actions,sha,true,action,15,15
actions/setup-java@387ac29b308b003ca37ba93a6cab5eb57c8f5f93,actions,sha,true,action,15,15
pfizer-github-automation/sonar-scan-action@main,pfizer-github-automation,branch,true,action,15,15
pfizer-digital-manufacuring/pgs-poi-actions/deploy-terraform@v2,pfizer-digital-manufacuring,tag,true,action,4,9
pfizer-operations-and-insights/pgs-poi-actions/deploy-terraform@v2,pfizer-operations-and-insights,tag,true,action,4,7
actions/setup-python@v5,actions,tag,true,action,3,7
actions/checkout@v3,actions,tag,true,action,3,4
pfizer-digital-supply/digital-supply-actions/.github/workflows/trigger-deployment-pipeline.yaml@v1,pfizer-digital-supply,tag,true,reusable_workflow,2,4
pfizer-operations-and-insights/pgs-poi-actions/flux-create-environment@v2,pfizer-operations-and-insights,tag,true,action,2,4
pfizer-operations-and-insights/pgs-poi-actions/build@patch-buildx-version,pfizer-operations-and-insights,branch,true,action,2,3
docker://ghcr.io/codfish/semantic-release-action:v3,,docker,true,action,3,3
pfizer-operations-and-insights/pgs-poi-actions/flux-update-release-version@v2,pfizer-operations-and-insights,tag,true,action,2,3
pfizer-operations-and-insights/pgs-poi-actions/flux-reconcile@v2,pfizer-operations-and-insights,tag,true,action,3,3
./.github/workflows/_build.yaml,,local,true,reusable_workflow,1,2
./.github/workflows/reconcile-flux.yaml,,local,true,reusable_workflow,2,2
pfizer-digital-supply/digital-supply-actions/.github/workflows/_build.yaml@v1,pfizer-digital-supply,tag,true,reusable_workflow,1,2
pfizer-digital-manufacuring/pgs-poi-actions/tagger@v2,pfizer-digital-manufacuring,tag,true,action,2,2
pfizer-github-automation/sonar-scan-action@v1.4.0,pfizer-github-automation,tag,true,action,2,2
pfizer-operations-and-insights/pgs-poi-actions/setup-node@v2,pfizer-operations-and-insights,tag,true,action,1,1
pozil/auto-assign-issue@v1,pozil,tag,false,action,1,1
anishathalye/proof-html@v1.1.0,anishathalye,tag,false,action,1,1
actions/create-github-app-token@v1,actions,tag,true,action,1,1
docker/login-action@v3,docker,tag,true,action,1,1
docker://artifactory.pfizer.com/mxs/github/codfish/semantic-release-action-poi:v3,,docker,true,action,1,1
pfizer-operations-and-insights/pgs-poi-actions/workflow-dispatch@log-dispatch-error,pfizer-operations-and-insights,branch,true,action,1,1
unfor19/install-aws-cli-action@v1,unfor19,tag,false,action,1,1
actions/upload-artifact@v4,actions,tag,true,action,1,1
actions/download-artifact@v4,actions,tag,true,action,1,1
azure/webapps-deploy@v3,azure,tag,true,action,1,1
azure/webapps-deploy@v2,azure,tag,true,action,1,1
actions/checkout@v3,actions,tag,true,action,4,18
actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd,actions,sha,true,action,1,11
actions/checkout@v4,actions,tag,true,action,3,8
./.github/actions/setup-bolt,,local,true,action,2,5
actions/checkout@v6,actions,tag,true,action,1,4
actions/setup-node@48b55a011bda9f5d6aeb4c2d9c7362e8dae4041e,actions,sha,true,action,1,4
./.github/actions/setup-workflow,,local,true,action,1,4
./.github/actions/build-autoflow,,local,true,action,1,4
./.github/actions/deploy-autoflow,,local,true,action,1,4
actions/cache@v1,actions,tag,true,action,2,4
./.github/workflows/wc-build-gradle.yml,,local,true,reusable_workflow,1,3
./.github/workflows/wc-deploy-helm.yml,,local,true,reusable_workflow,1,3
actions/upload-artifact@v4,actions,tag,true,action,1,3
actions/setup-java@v3,actions,tag,true,action,2,3
actions/github-script@v6,actions,tag,true,action,1,2
./.github/actions/age,,local,true,action,2,2
aws-actions/configure-aws-credentials@v4,aws-actions,tag,true,action,2,2
./.github/workflows/wc-build-yarn.yml,,local,true,reusable_workflow,1,2
actions/checkout@v2,actions,tag,true,action,2,2
dependabot/fetch-metadata@v1,dependabot,tag,false,action,2,2
actions/upload-artifact@v3,actions,tag,true,action,1,2
./secrets-action/,,local,true,action,1,2
actions/labeler@v4,actions,tag,true,action,1,1
actions/setup-python@v5,actions,tag,true,action,1,1
actions/cache@v4,actions,tag,true,action,1,1
actions/setup-java@v4,actions,tag,true,action,1,1
gradle/actions/setup-gradle@v4,gradle,tag,false,action,1,1
pfizer-eps-dpp/actions/secrets-action@main,pfizer-eps-dpp,branch,true,action,1,1
actions/setup-node@v6,actions,tag,true,action,1,1
./.github/actions/cluster-status,,local,true,action,1,1
actions/upload-artifact@043fb46d1a93c77aae656e7c1c64a875d1fc6a0a,actions,sha,true,action,1,1
./.github/actions/restart-service,,local,true,action,1,1
actions/checkout@v5,actions,tag,true,action,1,1
./secrets-action,,local,true,action,1,1
actions/setup-node@v3,actions,tag,true,action,1,1
pfizer-github-automation/sonar-scan-action@main,pfizer-github-automation,branch,true,action,1,1
actions/checkout@v4,actions,tag,true,action,691,1800
pfizer-github-automation/sonar-scan-action@main,pfizer-github-automation,branch,true,action,551,768
pfizer-github-automation/github-ssh-keyscan-action@v1,pfizer-github-automation,tag,true,action,290,539
actions/checkout@v3,actions,tag,true,action,114,337
aws-actions/configure-aws-credentials@v4,aws-actions,tag,true,action,63,305
octokit/request-action@v2.x,octokit,tag,false,action,299,300
planetscale/ghcommit-action@v0.2.0,planetscale,tag,false,action,290,291
actions/github-script@v6,actions,tag,true,action,258,262
hashicorp/setup-terraform@v1,hashicorp,tag,true,action,172,194
hashicorp/setup-terraform@v3,hashicorp,tag,true,action,55,161
actions/setup-node@v3,actions,tag,true,action,45,142
./.github/workflows/list-changes.yml,,local,true,reusable_workflow,42,142
actions/checkout@v2,actions,tag,true,action,70,128
pfizer/tf-ga-helper/.github/workflows/account-plan.yml@4.x,pfizer,tag,true,reusable_workflow,83,107
pfizer/tf-ga-helper/.github/workflows/account-apply.yml@4.x,pfizer,tag,true,reusable_workflow,83,106
actions/setup-python@v4,actions,tag,true,action,43,88
aws-actions/configure-aws-credentials@v1-node16,aws-actions,tag,true,action,31,78
actions/github-script@v7,actions,tag,true,action,49,64
actions/checkout@v6,actions,tag,true,action,11,62
actions/setup-python@v5,actions,tag,true,action,32,56
actions/checkout@b4ffde65f46336ab88eb53be808477a3936bae11,actions,sha,true,action,45,54
pfizer/tf-ga-helper/.github/workflows/module-validation.yml@2.x,pfizer,tag,true,reusable_workflow,53,53
azure/setup-kubectl@v3,azure,tag,true,action,25,52
pfizer/tf-ga-helper/.github/workflows/module-validation.yml@5.x,pfizer,tag,true,reusable_workflow,50,50
pfizer/tf-ga-helper/.github/workflows/account-apply.yml@5.x,pfizer,tag,true,reusable_workflow,39,47
pfizer/tf-ga-helper/.github/workflows/account-plan.yml@5.x,pfizer,tag,true,reusable_workflow,39,46
actions/setup-java@387ac29b308b003ca37ba93a6cab5eb57c8f5f93,actions,sha,true,action,43,46
actions/create-github-app-token@v1,actions,tag,true,action,20,43
actions/upload-artifact@v4,actions,tag,true,action,20,43
./.github/workflows/get-changes.yml,,local,true,reusable_workflow,21,42
graalvm/setup-graalvm@v1,graalvm,tag,false,action,31,42
pfizer-eps/eps-dco-sre-composite-pipelines/sonarqube@main,pfizer-eps,branch,true,action,31,36
actions/setup-java@v3,actions,tag,true,action,13,35
google-github-actions/auth@v2,google-github-actions,tag,true,action,16,31
tj-actions/changed-files@e0021407031f5be11a464abee9a0776171c79891,tj-actions,sha,false,action,3,29
google-github-actions/auth@v3,google-github-actions,tag,true,action,19,29
aws-actions/configure-aws-credentials@v2,aws-actions,tag,true,action,4,28
pfizer-eps/eps-dco-sre-composite-pipelines/build-push@main,pfizer-eps,branch,true,action,27,27
